id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5126313897628919,Pb2xLw0D5,2318910945,新浪热点,【#这次LG杯对柯洁有多重要#】#柯洁本有机会终结多年冠军荒#第29届LG杯世界围棋棋王战决赛，以一种未曾料想到的方式收了尾。官方宣布，柯洁选择退赛，韩国棋手卞相壹夺冠。据悉，这是围棋世界大赛决赛中首次出现犯规负。@新浪热点查询发现，本次LG杯之前，自2020年夺得第25届三星杯冠军以来，柯洁已经四年未曾在世界大赛中夺冠，此次LG杯是他时隔多年后再次冲击世界冠军的绝佳机会，结束他的冠军荒，证明自己的实力依旧处于顶尖水平，但因规则争议最终未能如愿。若成功夺冠，柯洁也将成为中国独一无二的世界大赛“九冠王”。值得注意的是，柯洁与卞相壹的对决不仅是个人荣誉之争，也代表了中韩围棋的最高水平。柯洁在首局获胜后，距改写中国围棋历史仅一步之遥，却出现了令人意想不到的结局。本次LG杯决赛，也是中韩对抗的关键之战。在LG杯的历史上，韩国棋手共13次夺冠，而中国大陆棋手此前12次夺冠。如果柯洁夺冠，中国棋手的LG杯冠军总数将追平韩国队，这对于中国围棋在国际赛场上的整体表现具有重要意义。（新浪热点综合澎湃新闻、企鹅体育、中国新闻网等）#柯洁微博评论区被3个字刷屏#L四川观察的微博视频,,,新浪热点,"这次LG杯对柯洁有多重要,柯洁本有机会终结多年冠军荒,柯洁微博评论区被3个字刷屏",43,50,833,2025-01-24 12:12,微博视频号,,"http://f.video.weibocdn.com/o0/xb03h6Edlx08lnQ3jmnK010412006njJ0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1737886040&ssig=%2B1jQuynPIX&KID=unistore,video",,,普通用户
5126390689042083,Pb4xCBWg3,7440276715,舵手无畏,#韩国棋院称会把奖金汇入柯洁账户#LG杯风波：连笑力挺柯洁退赛LG杯比赛，连笑发文支持柯洁退赛。赛前柯洁和连笑觉得韩国棋手跟咱中国棋手一样实在，没想到他们比赛搞小动作，用举报对手这种卑鄙手段赢棋，柯洁和连笑被坑，吃了大亏。三周前韩国突然改规则，柯洁和连笑认了，还抓紧准备。比赛时大家都专注下棋，可棋盒放的位置不顺手，柯洁按习惯走棋，这么个小疏忽，也不该怪他。经这事儿，连笑对韩国棋手卞相壹印象极差。柯洁退赛，那是有骨气，咱中国棋手不能受这委屈，得硬气。比赛就得讲公平，韩国这么搞，风气都坏了。中国棋手坚守原则，遇到不公平就得抗争，柯洁这是给大家做榜样，告诉全世界，咱看重的不只是冠军，更要公平公正的比赛环境，这才是体育精神。#LG杯#L舵手无畏的微博视频,,,,"韩国棋院称会把奖金汇入柯洁账户,LG杯",1,2,85,2025-01-24 17:17,月球Android,,"http://f.video.weibocdn.com/u0/So8l43d3gx08lpsVpGRq01041200aS260E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1737886040&ssig=3Cf83KpzZJ&KID=unistore,video",,广东,金V
5126296437265242,Pb25Buu1k,2054300185,虎扑的步行街,棋手连笑直播时表示：柯洁说这辈子没受过这种委屈第29届LG杯世界棋王赛决赛决胜局，柯洁提子未放棋盒盖，裁判在卞相壹回合未落子情况下介入暂停，给了卞相壹更多的思考时间，干扰了正常比赛。暂停后判罚柯洁犯规罚两目，在协商后柯洁提出重赛，不接受判罚，选择退赛！韩国裁判现场宣布：卞相壹夺冠。另外在决赛第二局，柯洁更是因两次提子问题直接被判负。#柯洁说这辈子没受过这种委屈##连笑曝柯洁应该不会参加闭幕式##柯洁微博评论区被3个字刷屏#,,,,"柯洁说这辈子没受过这种委屈,连笑曝柯洁应该不会参加闭幕式,柯洁微博评论区被3个字刷屏",5,41,285,2025-01-24 11:02,吃瓜积极分子,,"http://f.video.weibocdn.com/o0/fTOqg0N0lx08lp2NuEc801041200mhOu0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1737886040&ssig=GTxs1X2Cg%2F&KID=unistore,video",,浙江,金V
5126336181703404,Pb37I798g,1655444627,潇湘晨报,#卞相壹称裁判判罚时才知道新规#【#卞相壹回应柯洁被判负#：裁判判罚时才知道新规，称该规则没必要与胜负无关】今日，卞相壹出席LG杯颁奖典礼，捧起了冠军奖杯、拿到冠军奖金3亿韩元。卞相壹还接受媒体采访谈到关于柯洁提子违规一事。#卞相壹曾因打不过女棋手扇自己耳光#记者：关于这个新规是去年11月规定的，你之前了解这个规则吗？卞相壹：不知道。我是在裁判宣布第一次违规时，裁判告诉我后我才知道。记者：你应该了解该规则的制定初衷和目的，作为棋手，你怎么看这条规则？卞相壹：我不知道该不该这样说……但我个人认为，这样的规则没有存在的必要。记者：你为什么这么想？卞相壹：其实我觉得和胜负完全无关……此前报道，1月23日，第29届LG杯世界棋王赛三番棋决赛第三局决胜局，柯洁提子未放棋盒盖，正常判罚两目，在协商后柯洁提出重赛，不接受判罚，选择退赛，柯洁说这辈子没受过这种委屈，之后也应该不会参加任何闭幕式。退赛后，柯洁个人简介改为世界围棋九冠王。L潇湘晨报的微博视频,,,,"卞相壹称裁判判罚时才知道新规,卞相壹回应柯洁被判负,卞相壹曾因打不过女棋手扇自己耳光",413,1673,25936,2025-01-24 13:40,微博视频号,,"http://f.video.weibocdn.com/o0/mPLdwVhwlx08lpe3gRqE010412002dce0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1737886040&ssig=gZMxwQ8FLY&KID=unistore,video",,,普通用户
5126325989282728,Pb2RgCWRq,1618051664,头条新闻,#韩网热议柯洁退赛#【#韩国网友称夺冠很尴尬#：我不认为我们是靠技能赢的，而是靠其他方面赢】1月23日，LG杯决赛决胜盘再生波澜，中国棋手柯洁执黑与韩国棋手卞相壹弈至第159手时，裁判前来叫了暂停，称柯洁提子违规，随后为比赛封盘暂停。随后判罚柯洁违规，随后柯洁退赛。#韩国网友吐槽韩国棋院长脑子了吗#韩国最大围棋网站tygem上，该国网友对此表示：“（去年）11月制定新规的人应该辞职。制定了奇怪的规定，引发了韩中矛盾。”有韩国网友认为，奇怪的规则应该被修改，并质疑道：“韩国棋院的奇怪规则，再怎么胳膊往里弯，好像也不是这样弄的吧。第二局韩国其实完全就是输的，裁判居然把它推翻了。”还有韩国网友说：“这次我真的生气了，我认为围棋的尊严受到了损害。”“我作为韩国人这下有点尴尬。我不认为我们是靠技能赢的，而是靠其他方面赢的！”（潇湘晨报）L潇湘晨报的微博视频,,,,"韩网热议柯洁退赛,韩国网友称夺冠很尴尬,韩国网友吐槽韩国棋院长脑子了吗",60,376,9877,2025-01-24 13:00,微博视频号,,"http://f.video.weibocdn.com/o0/6yfKnwTOlx08lpadujyg010412003zhJ0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1737886040&ssig=vZba4LSHFb&KID=unistore,video",,,普通用户
5126299104055863,Pb29Uh179,2441958943,困困小羊羔-,#中国队不出席lg杯颁奖仪式#违规柯洁认了，但是在对方出棋阶段叫停还罚两目是不是有点太想赢了，柯洁认罚但他封盘时间不合理，大卞在长考时间都快用完了，在大卞没下之前封盘变相给大卞加时间了，相当于高考到一半出去一个小时还不算在考试时间里你也不知道对手是不是上网去查答案了。申诉的从来不是惩罚，而是在对手半个小时没落子的情况下对之前的犯规继续处罚暂停比赛，给了对手无限期的思考时间。,,,,中国队不出席lg杯颁奖仪式,1,48,628,2025-01-24 11:13,iPhone 15 Pro Max,,"http://f.video.weibocdn.com/u0/wH4r8oN7gx08lp3UJGys010412005eJ10E010.mp4?label=mp4_720p&template=720x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1737886040&ssig=qpeSCGyJ9K&KID=unistore,video",,广东,金V
5126394222478307,Pb4DkaoIH,1709337877,赵彦彬_bynn,韩国棋院称会把奖金汇入柯洁账户1月24日，LG杯围棋赛上，韩国棋手卞相壹夺冠，奖金3亿韩元。中国棋手柯洁因裁判争议拒领奖。韩方表示奖金将汇入柯洁账户，奖杯等物品寄送方式研究中。#LG杯#网友对此看法不一，有人认为这是对柯洁的认可，有人则质疑奖金发放方式，认为缺乏尊重。L赵彦彬_bynn的微博视频,,,,LG杯,10,13,72,2025-01-24 17:31,微博视频号,,"http://f.video.weibocdn.com/o0/PtzIZBkAlx08lptTdnba010412008YZs0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1737886040&ssig=DrsXrQWfkt&KID=unistore,video",,吉林,红V
5126369151292765,Pb3YT5qj3,7546573234,历史这些事啊,卞相壹出席颁奖典礼，参加LG杯颁奖仪式，拿到了冠军奖杯和3亿韩元冠军奖金。卞相壹在接受采访时表示，自己对比赛以不愉快的方式结束感到遗憾，也非常理解柯洁的心情；自己认为韩国围棋协会修订的提子规则没有必要，因为这与比赛胜负没有关系。L历史这些事啊的微博视频,,,,,6,164,1772,2025-01-24 15:51,燕燕小可爱Android,,"http://f.video.weibocdn.com/o0/ge69uBialx08lpn36GGY010412004D0I0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1737886040&ssig=BlnrxbHQBN&KID=unistore,video",,河南,金V
5126455216572364,Pb6dHrzLS,1653603955,扬子晚报,【#卞相壹称柯洁被罚自己专注力被破坏#】1月24日，LG杯颁奖典礼，#卞相壹称死子放错规则无存在必要#，#卞相壹颁奖典礼手捧冠军奖杯#。采访现场按照卞相壹的说法，当裁判指出柯洁选手未将死子放置在棋盒盖上之后，卞相壹的专注力被破坏了，“事实上，从柯洁选手第一次违规被判罚起，我的注意力就有些混乱，无法集中。当我看到那些死子时，我觉得自己无法专心下棋。”（记者黄啟元）L扬子晚报的微博视频O柯洁拒领奖！卞相壹大说“牙疼话”：该规则没存在必要,,,,"卞相壹称柯洁被罚自己专注力被破坏,卞相壹称死子放错规则无存在必要,卞相壹颁奖典礼手捧冠军奖杯",421,2351,40516,2025-01-24 21:33,微博视频号,,"http://f.video.weibocdn.com/o0/8uCtSwSYlx08lpqUNLss010412002SUi0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1737885996&ssig=yoen9qUYws&KID=unistore,video",,,普通用户
5126383598830669,Pb4mbB3g9,1655444627,潇湘晨报,【#韩围棋协会将修改围棋规定##韩国网友呼吁裁判承认卞相壹犯规#】随着柯洁被判罚事件引发的争议加剧，韩国媒体报道，1月24日，韩国围棋协会和LG杯财团决定在春节假期后重新审查围棋规定，修改与“死子”放入棋盒盖有关的警告与规则。卞相壹在赛后接受采访时表示：“比赛以不愉快的方式结束，我完全理解柯洁的立场。我会更加努力，拿出更好的表现。”对于卞相壹的发言，部分韩国网友并不买账，他们评论：“在未胜一局的情况下获得冠军，真是让韩国体育精神再次名扬世界。”“当实力虚伪时，就会屈尊进行骗局。”“棋子为什么一定要在棋盖上啊？”同时有网友发现，卞相壹在决赛第一局和第三局犯规却被无视，呼吁卞相壹和韩国裁判加强道德，韩国裁判也应该承认卞相壹犯规。L潇湘晨报的微博视频,,,,"韩围棋协会将修改围棋规定,韩国网友呼吁裁判承认卞相壹犯规",514,1707,49951,2025-01-24 16:49,微博视频号,,"http://f.video.weibocdn.com/o0/OdpLGqUllx08lpqZtOOs010412002wP50E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1737886040&ssig=7HXtanGLNC&KID=unistore,video",,,普通用户
