id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5120245615826043,P8uGdorCr,6189120710,央视军事,【#子弟兵为震区群众制作热食#】今天9时5分，西藏日喀则市定日县发生6.8级地震。地震发生后，西藏军区某团到达现场后搭设帐篷、制作热食，确保人民群众能够度过一个温暖的夜晚，吃上热腾腾的晚饭。（记者达瓦欧珠赵丰收罗浩天尹建铖）L央视军事的微博视频,,,,子弟兵为震区群众制作热食,195,66,1117,2025-01-07 18:19,微博视频号,,"http://f.video.weibocdn.com/o0/XShV85emlx08kYq1iONG010412008oL40E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1736593784&ssig=FdcU3lGmzw&KID=unistore,video",,,普通用户
5120249949064203,P8uNcC20P,6023976411,蓝睛,#西藏地震一遭埋压儿童被救出#，被救儿童无大碍（来源：新京报西藏武警）L蓝睛的微博视频,,,,西藏地震一遭埋压儿童被救出,10,0,387,2025-01-07 18:36,微博视频号,,"http://f.video.weibocdn.com/o0/k5ykYME0lx08kYrcF5Fu0104120069Fh0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1736593784&ssig=TQZt6zcGnE&KID=unistore,video",,,蓝V
5120312105239328,P8wpslYZi,2280198017,解放军报,【暖胃也暖心！寒冬中震区群众吃上热饭】今天9时5分，西藏日喀则市定日县发生6.8级地震。西藏军区某团到达现场后搭设帐篷、制作热食，为震区群众精心准备热气腾腾的晚饭。#加油日喀则#（达瓦欧珠赵丰收罗浩天尹建铖）#西藏地震后第一个夜晚#L解放军报的微博视频,,,,"加油日喀则,西藏地震后第一个夜晚",62,58,795,2025-01-07 22:43,微博视频号,,"http://f.video.weibocdn.com/o0/8OuZcFsqlx08kYIabCAo01041200kBOW0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1736593784&ssig=bd1qAuuGaq&KID=unistore,video",,,蓝V
5120311114334922,P8wnRibI6,2656274875,央视新闻,【#西藏震区夜晚气温或达零下十几度#】据西藏气象部门，今晚震区夜里最低气温可能达零下18摄氏度左右。#西藏地震后第一个夜晚#，受灾群众情况如何？总台记者在安置点走访看到，现场已搭建多个救灾帐篷，棉被等御寒救灾物资也在陆续运送过来。帐篷里已经有了电力，热水、方便面等物资也已备好↓↓#定日县地震全力搜救#，一起共渡难关！L央视新闻的微博视频O网页链接,,,,"西藏震区夜晚气温或达零下十几度,西藏地震后第一个夜晚,定日县地震全力搜救",1214,1125,9631,2025-01-07 22:39,微博视频号,,"http://f.video.weibocdn.com/o0/K9tFXsDHlx08kYHTTEm401041202nH2n0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1736593784&ssig=oFvT%2FnCSle&KID=unistore,video",,,普通用户
5120250704300476,P8uOqi2Kw,2181597154,俄罗斯卫星通讯社,【俄驻华大使馆：暂无俄罗斯人在西藏地震中受伤的消息】俄罗斯驻华大使馆周二表示，中国西南部西藏自治区发生6.8级地震，暂无俄罗斯人在西藏地震中受伤的消息。俄罗斯驻华大使馆在其“电报”频道的官方账号上发文称：“关于今年1月7日中国西藏自治区发生地震一事，暂无俄罗斯人在地震中受伤的消息。”#西藏日喀则地震现场画面#消息还指出，使馆正密切关注事态发展，并与中方保持密切联系。#第一批解放军已抵达西藏震中#7日9时5分，中国西藏自治区日喀则市定日县发生6.8级地震，震中位于定日县措果乡，震中20公里范围内人口数约6900人，震中20公里范围内有3个乡（镇、街道）驻地、27个村。#西藏定日县地震已致95人遇难#据新华社消息，截至15时，地震已造成95人遇难、130人受伤。,,,,"西藏日喀则地震现场画面,第一批解放军已抵达西藏震中,西藏定日县地震已致95人遇难",15,17,108,2025-01-07 18:39,微博视频号,,"http://f.video.weibocdn.com/o0/ZlPZFbnIlx08kYrprDsI010412003Lz00E010.mp4?label=mp4_hd&template=480x848.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1736593784&ssig=eDkJvafehm&KID=unistore,video",,,蓝V
5120299238431066,P8w4HzniW,1974576991,环球时报,【波司登捐赠1000万元御寒物资驰援西藏地震灾区】据央视新闻报道，1月7日9时05分，西藏日喀则市定日县发生6.8级地震，震源深度10千米，灾情严重。正值寒冬腊月，灾区气温骤降，极端天气给受灾群众的生活和救援工作带来了极大挑战。在地震灾害发生的第一时间，波司登集团迅速响应，启动应急援助机制，从西南仓库中紧急调度1000万元的御寒物资，驰援西藏日喀则定日县，为当地群众和救援人员提供御寒保障。波司登集团将持续关注灾区情况，在政府部门的指导下，为灾区人民和救援工作提供更多的帮助与力量。祈愿西藏灾区早日恢复正常生活！,,,,,320,534,9609,2025-01-07 21:52,微博网页版,https://wx1.sinaimg.cn/large/0029D7FZly1hxcjcuon4ij60j60y3dxr02.jpg,,,,普通用户
5120279909242485,P8vzwCMol,3138941747,ChineseSunMoonStar,西藏网友称地震发生后10分钟左右，就有飞机飞到震区上空侦查！#西藏日喀则6.8级地震##西藏地震网友齐喊愿平安##西藏定日县地震已致95人遇难#LChineseSunMoonStar的微博视频,,,,"西藏日喀则6.8级地震,西藏地震网友齐喊愿平安,西藏定日县地震已致95人遇难",43,24,1657,2025-01-07 20:35,微博视频号,,"http://f.video.weibocdn.com/u0/aJx3vkhcgx08kYznvN2w010412005ltw0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1736593784&ssig=0ip61h%2FlvK&KID=unistore,video",,安徽,金V
5120166427364721,P8sCuuTTP,5444894547,猫头鹰视频,【#亲历者讲述西藏地震瞬间#：“二楼房子垮了，当时感觉要死了”】1月7日，西藏日喀则市定日县发生6.8级地震，震源深度10千米。当地居民表示，“早上9点多钟发生地震，当时感觉要死了，和当初512地震程度差不多，就像飞机进入西藏时候的气流一样（颠簸），甚至比气流还严重。二楼房子都垮下来了，电瓶车被砸坏了，现在我们都在室外避险，消防不让我们进去。”还有居民表示，“震中心那边有点严重，震中心是距离县城三四十公里的地方，政府在组织调挖机过去救灾，消防已经去救援了。”@猫头鹰视频L猫头鹰视频的微博视频,,,猫头鹰视频,亲历者讲述西藏地震瞬间,22,9,146,2025-01-07 13:04,微博视频号,,"http://f.video.weibocdn.com/o0/EWOx33A6lx08kY4pxEfu01041200hR1Q0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1736593784&ssig=gDEB0LHo%2BY&KID=unistore,video",,,蓝V
5120308010814599,P8wiR3pUH,1744332207,钱江视频,【最新消息：#西藏地震已致126人遇难188人受伤#】记者7日从西藏日喀则市委宣传部获悉，经初步排查，截至19时，#西藏定日县地震已致126人遇难#、188人受伤，28名重症人员转移到市人民医院救治；倒塌房屋3609户。#西藏日喀则6.8级地震#目前，各方救援力量已搜救出被困群众407人，设立14个转移安置点，转移安置受灾群众3.04万余人。区、市、县三级共派出医疗救助队伍24支568人、救护车106辆开展转运救治工作，受伤人员已全部收治。紧急调运受灾急需的棉帐篷、折叠床、高低床、棉被、毛毯、棉大衣（防寒服）、棉鞋、取暖器、发电机、炉子、应急照明灯以及矿泉水、方便面等必需物资共计17万余件发往灾区，全力保障受灾群众基本生活。截至目前，因地震损坏路段已全部抢通。L钱江视频的微博视频,,,,"西藏地震已致126人遇难188人受伤,西藏定日县地震已致126人遇难,西藏日喀则6.8级地震",46,63,235,2025-01-07 22:27,微博视频号,,"http://f.video.weibocdn.com/o0/udSeQs7Xlx08kYH8r8gg010412008nuY0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1736593784&ssig=PlwMG7KvJ1&KID=unistore,video",,,普通用户
5120280986651639,P8vBgrUov,7767790303,李家超,【沉痛哀悼西藏地震遇难同胞】西藏日喀则市定日县发生6.8级地震，造成人命伤亡。我对遇难同胞表示沉痛哀悼，向他们的家属致以深切慰问，并祝愿伤者早日康复。我已指示特区政府相关部门密切留意灾情，入境处和香港特区政府驻成都经济贸易办事处与内地单位保持沟通及了解情况，至今暂未接获港人求助个案。政府亦会与救济赈灾机构保持紧密联系，随时准备透过赈灾基金提供适切援助。我们为救援人员打气，祝愿内地同胞平安无恙，灾情尽快受控。#西藏地震##定日县地震全力搜救#,,,,"西藏地震,定日县地震全力搜救",109,219,3381,2025-01-07 20:39,,,,,中国香港,金V
